Year,broodline,Harvest,adjusted_AUC,max_harv,min_harv,min_run,max_run
1963,Odd,5295378,1355740,79.61635923464296,57.6697386442202,6651118,9182247.266055046
1965,Odd,2460471,975956,71.59968769888026,46.79026956861706,3436427,5258509.9908256885
1967,Odd,2626340,842260,75.71758058006111,52.09879548984472,3468600,5041076.238532109
1969,Odd,4828579,404570,92.26909075205005,80.63126233605277,5233149,5988470.055045871
1971,Odd,7310964,1112550,86.79232918708273,69.6241556951962,8423514,10500614.229357798
1973,Odd,7310964,1225010,85.64885506914618,67.55004216919448,8535974,10823033.95412844
1975,Odd,2056878,1265560,61.90869475969153,36.179495280265606,3322438,5685203.688073395
1977,Odd,4298734,1517667,73.90711197525755,49.69724586209265,5816401,8649843.518348623
1979,Odd,14433526,2901977,83.25992040727056,63.43455044019542,17335503,22753414.188073393
1981,Odd,17402547,2166319,88.92976731508101,73.6979979488998,19568866,23613323.949541286
1983,Odd,9564242,2003106,82.6831007418468,62.482424116274416,11567348,15307091.770642202
1985,Odd,17590108,2347997,88.22356989292614,72.32254027499845,19938105,24321750.775229357
1987,Odd,11694727,1372217,89.49856217337427,74.82788526444732,13066944,15628835.371559633
1989,Odd,3510074,1233676,73.99365480895915,49.80955598844754,4743750,7046989.137614679
1991,Odd,5818984,1725792,77.12600082494166,54.04571125105163,7544776,10766782.165137615
1993,Odd,477302,1065640,30.934539341076984,13.51187714468534,1542942,3532462.5504587158
1995,Odd,2744024,1190184,69.74781201197293,44.572987581100485,3934208,6156248.770642201
1997,Odd,1163052,1422688,44.9794642926203,22.187775838375217,2585740,5241859.339449542
1999,Odd,6939831,2462862,73.80684448593611,49.56742947651821,9402693,14000788.56880734
2001,Odd,6854291,2000386,77.40870728542667,54.44518601791818,8854677,12589342.605504587
2003,Odd,4497780,2846732,61.240011589605956,35.5295023500796,7344512,12659282.29357798
2005,Odd,12296372,4736116,72.19363371927813,47.52278692527002,17032488,25874686.220183484
2007,Odd,10017855,1509133,86.90782882744391,69.83761409408997,11526988,14344497.775229357
2009,Odd,994708,1829623,35.21924307030586,15.940356184307028,2824331,6240186.784403669
2011,Odd,5715680,3927419,59.27223188313218,33.67020706548603,9643099,16975482.17889908
2013,Odd,17281214,4684239,78.67451675137318,56.270806891382406,21965453,30710798.288990825
2015,Odd,25535256,6148422,80.59435523868157,59.1605892957591,31683678,43162612.65137614
