Year,Harvest,adjusted_AUC
1970,230661,61550
1971,574265,109770
1972,45370,269190
1973,729839,491270
1974,88544,166900
1975,100479,25026
1976,370478,90445
1977,575839,122237
1978,485147,178951
1979,324040,61014
1980,412948,76309
1981,1745869,132341
1982,1335368,242634
1983,1030546,323865
1984,1196785,191112
1985,1302090,93787
1986,1662366,266265
1987,1616850,331879
1988,1265442,626566
1989,687035,278636
1990,411611,316263
1991,170286,108499
1992,179741,91411
1993,158498,136842
1994,227404,114512
1995,216799,185527
1996,221625,368937
1997,336103,212128
1998,296630,183999
1999,340699,252388
2000,463210,397492
2001,456957,446385
2002,180304,292597
2003,320755,546436
2004,213848,289742
2005,66384,245983
2006,150464,304695
2007,117002,323007
2008,182016,245644
2009,82871,400049
2010,91872,498041
2011,101740,455788
2012,211798,179308
2013,236893,247323
2014,227078,166670
2015,221770,250809
2016,97281,173150
