Year,broodline,Harvest,adjusted_AUC,max_harv,min_harv,min_run,max_run
1964,Even,"4,206,896","1,841,680",69.6,44.3,"6,048,576","9,486,942"
1966,Even,"2,699,418","1,423,170",65.5,39.8,"4,122,588","6,779,607"
1968,Even,"2,452,168","1,156,510",68.0,42.5,"3,608,678","5,767,850"
1970,Even,"2,809,996","979,220",74.2,50.0,"3,789,216","5,617,393"
1972,Even,"54,783","641,180",7.9,2.9,"695,963","1,893,028"
1974,Even,"54,783","958,120",5.4,2.0,"1,012,903","2,801,687"
1976,Even,"448,773","712,278",38.7,18.0,"1,161,051","2,490,854"
1978,Even,"3,169,697","755,386",80.8,59.4,"3,925,083","5,335,368"
1980,Even,"12,918,874","1,095,042",92.2,80.4,"14,013,916","16,058,329"
1982,Even,"14,945,199","1,849,118",89.0,73.8,"16,794,317","20,246,569"
1984,Even,"17,631,675","3,569,838",83.2,63.3,"21,201,513","27,866,302"
1986,Even,"4,578,023","985,934",82.3,61.8,"5,563,957","7,404,669"
1988,Even,"795,772","971,164",45.0,22.2,"1,766,936","3,580,072"
1990,Even,"11,687,757","1,235,905",90.4,76.7,"12,923,662","15,231,063"
1992,Even,"862,846","542,537",61.4,35.7,"1,405,383","2,418,285"
1994,Even,"3,257,358","1,409,281",69.8,44.6,"4,666,639","7,297,728"
1996,Even,"3,016,749","1,483,336",67.0,41.5,"4,500,085","7,269,432"
1998,Even,"3,850,411","1,420,105",73.1,48.6,"5,270,516","7,921,813"
2000,Even,"5,730,913","1,659,028",77.6,54.6,"7,389,941","10,487,301"
2002,Even,"321,468","943,177",25.4,10.6,"1,264,645","3,025,531"
2004,Even,"2,938,308","2,001,123",59.5,33.9,"4,939,431","8,675,473"
2006,Even,"2,123,901","1,190,802",64.1,38.4,"3,314,703","5,537,898"
2008,Even,"1,428,273","862,419",62.4,36.6,"2,290,692","3,900,805"
2010,Even,"2,398,983","2,000,408",54.5,29.5,"4,399,391","8,134,098"
2012,Even,"3,302,575","1,125,692",74.6,50.6,"4,428,267","6,529,903"
2014,Even,"1,890,021","812,376",69.9,44.8,"2,702,397","4,219,081"
2016,Even,"2,182,452","1,326,535",62.2,36.5,"3,508,987","5,985,591"
,avg,"4,750,602","1,415,426",67.6,45.1,"6,166,028","8,808,589"
,median,"3,016,749","1,235,905",69.8,44.6,"4,500,085","7,297,728"
,std. dev,5077015,697394,16.3,17.4,5596916,6655020
