year,broodline,district,subdist,strmnmb,Sum_P_AUC,Sum_C_AUC,pink_strm_life,chum_strm_life
1964,Even,221,30,56,17725,4390,21.5,12.6
1964,Even,221,40,76,37600,953,21.5,12.6
1964,Even,221,40,80,18075,24080,21.5,12.6
1964,Even,221,40,85,0,17320,21.5,12.6
1964,Even,221,40,87,6275,52060,21.5,12.6
1964,Even,221,40,88,17070,890,14.7,12.6
1964,Even,221,40,89,138275,45200,21.5,12.6
1964,Even,221,40,92,11825,0,9.6,12.6
1964,Even,221,40,99,371000,16240,14.2,12.6
1964,Even,221,50,115,161875,0,14.7,12.6
1964,Even,221,50,116,126250,278120,14.7,12.6
1964,Even,221,50,117,249500,250600,21.5,12.6
1964,Even,221,50,123,59075,18450,21.5,12.6
1964,Even,221,50,127,175875,208180,21.5,12.6
1964,Even,221,50,129,107950,50660,21.5,12.6
1964,Even,221,50,152,30600,15160,14.7,12.6
1964,Even,221,50,153,678750,215300,21.5,12.6
1964,Even,222,10,214,266500,107290,21.5,12.6
1964,Even,222,10,216,347225,41200,21.5,12.6
1964,Even,222,20,224,35250,0,21.5,12.6
1964,Even,222,20,229,80750,15700,21.5,12.6
1964,Even,222,20,233,20600,0,14.7,12.6
1964,Even,222,20,234,266600,325200,21.5,12.6
1964,Even,222,20,257,40450,0,21.5,12.6
1964,Even,222,20,258,1687500,307.5,21.5,12.6
1964,Even,222,20,263,64287.5,0,14.7,12.6
1964,Even,222,20,264,237425,65410,21.5,12.6
1964,Even,222,30,273,32550,0,14.2,12.6
1964,Even,222,30,276,28500,40550,13.7,12.6
1964,Even,222,30,277,0,0,13.7,12.6
1964,Even,222,30,279,171000,21210,9.6,12.6
1964,Even,222,30,282,17375,1250,21.5,12.6
1964,Even,222,30,289,7750,0,14.7,12.6
1964,Even,223,20,303,21470,12300,11.9,12.6
1964,Even,223,30,322,76500,373950,21.5,12.6
1964,Even,223,10,421,139500,115800,21.5,12.6
1964,Even,223,10,424,7175,15650,21.5,12.6
1964,Even,223,10,425,158750,89100,21.5,12.6
1964,Even,223,10,430,309050,207650,13.7,12.6
1964,Even,223,10,432,1090125,161300,21.5,12.6
1964,Even,224,10,454,118575,43260,21.5,12.6
1964,Even,224,10,455,91045,14000,13.7,12.6
1964,Even,224,30,479,50800,19710,9,12.6
1964,Even,224,40,480,118000,1860,9,12.6
1964,Even,224,40,484,109200,37600,9.6,12.6
